id_instalacion,tipo_instalacion,capacidad_instalacion
103,muelle,3
173,muelle,2
18,astillero,1
34,astillero,1
91,astillero,2
174,astillero,3
88,astillero,3
46,muelle,2
153,muelle,1
192,muelle,1
191,astillero,2
28,muelle,1
82,astillero,1
13,astillero,2
144,muelle,1
183,astillero,1
105,astillero,2
207,muelle,1
21,muelle,3
56,astillero,2
125,muelle,1
160,muelle,1
184,astillero,1
77,muelle,3
10,astillero,1
116,astillero,3
134,astillero,3
210,muelle,3
185,muelle,2
27,muelle,3
213,astillero,1
140,astillero,1
164,astillero,2
60,astillero,3
115,muelle,1
129,muelle,1
203,astillero,1
171,muelle,3
65,muelle,1
101,astillero,1
48,astillero,1
133,astillero,3
31,astillero,3
148,muelle,3
25,astillero,1
102,muelle,1
47,astillero,3
201,astillero,1
200,muelle,1
135,astillero,1
100,astillero,2
1,muelle,1
59,muelle,3
146,astillero,2
84,muelle,2
78,muelle,1
72,astillero,3
193,muelle,1
79,astillero,2
139,astillero,1
3,muelle,2
74,astillero,1
36,astillero,1
147,muelle,2
11,muelle,2
212,muelle,2
0,muelle,3
41,astillero,2
137,astillero,2
198,muelle,1
108,astillero,1
209,astillero,1
182,astillero,3
7,astillero,2
109,astillero,2
14,muelle,2
165,muelle,1
24,muelle,3
143,astillero,3
176,astillero,3
154,muelle,1
89,muelle,1
202,astillero,2
141,muelle,2
96,muelle,3
208,muelle,2
87,astillero,1
180,astillero,3
118,muelle,2
196,muelle,1
194,muelle,1
155,muelle,3
130,muelle,3
95,muelle,3
23,muelle,3
67,astillero,3
16,muelle,2
157,astillero,2
4,astillero,1
170,muelle,1
110,astillero,1
15,astillero,1
40,muelle,3
55,muelle,3
179,astillero,3
32,astillero,2
52,muelle,1
117,astillero,2
211,muelle,1
86,muelle,3
8,astillero,1
37,muelle,3
94,astillero,2
168,astillero,2
119,muelle,1
204,muelle,1
136,astillero,1
19,muelle,2
81,muelle,3
45,astillero,3
114,muelle,1
71,muelle,1
177,muelle,1
42,muelle,3
138,muelle,2
39,muelle,1
58,astillero,3
75,astillero,1
167,astillero,1
145,muelle,2
113,astillero,2
131,astillero,1
54,muelle,2
123,muelle,2
127,muelle,1
63,astillero,3
175,muelle,1
30,astillero,2
50,astillero,2
156,muelle,2
112,astillero,2
29,astillero,3
159,astillero,3
214,astillero,3
188,muelle,1
98,muelle,3
187,astillero,1
97,muelle,1
93,astillero,2
163,muelle,3
51,astillero,2
99,astillero,3
80,muelle,1
85,muelle,2
6,astillero,2
161,muelle,3
197,astillero,1
9,astillero,1
90,muelle,3
107,muelle,3
189,astillero,3
57,astillero,3
44,astillero,1
61,muelle,2
20,muelle,2
17,muelle,1
215,muelle,2
38,astillero,2
12,muelle,1
162,muelle,2
206,muelle,2
181,astillero,3
111,astillero,1
53,astillero,2
76,astillero,3
186,muelle,3
2,muelle,3
26,muelle,3
66,astillero,3
149,muelle,1
68,muelle,3
124,muelle,3
83,astillero,1
166,astillero,2
92,muelle,3
172,muelle,3
142,muelle,2
64,muelle,1
5,muelle,1
104,astillero,3
190,muelle,3
120,muelle,1
33,astillero,3
70,astillero,2
128,astillero,3
169,astillero,2
69,astillero,2
205,muelle,2
151,muelle,2
62,muelle,1
43,astillero,2
22,muelle,2
132,muelle,2
35,astillero,3
150,muelle,2
73,muelle,1
126,astillero,2
195,astillero,3
106,muelle,2
178,muelle,2
152,muelle,2
199,muelle,1
158,astillero,1
49,astillero,2
121,muelle,2
122,astillero,3
