id_puerto,nombre_puerto,ciudad,region
1,Quintero,Quintero,Valparaiso
2,Puerto Montt,Puerto Montt,Los Lagos
3,Lirquen,Penco,Biobio
4,Ancud,Ancud,Los Lagos
5,La Serena,La Serena,Coquimbo
6,Chacabuco,Aysen,Aysen del General Carlos Ibañez del Campo
7,Castro,Castro,Los Lagos
8,Talcahuano,Talcahuano,Biobio
9,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena
10,Mejillones,Mejillones,Antofagasta
11,Caleta Coloso,Antofagasta,Antofagasta
12,Caldera,Caldera,Atacama
13,Punta Patache,Iquique,Tarapaca
14,Calderilla,Caldera,Atacama
15,Huasco,Huasco,Atacama
16,Puerto Angamos,Mejillones,Antofagasta
17,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena
18,Barquito,Chañaral,Atacama
19,Puerto Natales,Puerto Natales,Magallanes y de la Antartica chilena
20,Cruz Grande,La Higuera,Coquimbo
21,Coquimbo,Coquimbo,Coquimbo
22,Antofagasta,Antofagasta,Antofagasta
23,Arica,Arica,Arica y Parinacota
24,Penco,Penco,Biobio
25,Punta Arenas,Punta Arenas,Magallanes y de la Antartica chilena
26,Quemchi,Quemchi,Los Lagos
27,Guayacan,Coquimbo,Coquimbo
28,Quellon,Quellon,Los Lagos
29,Iquique,Iquique,Tarapaca
30,San Antonio,San Antonio,Valparaiso
31,Valparaiso,Valparaiso,Valparaiso
32,Lota,Lota,Biobio
33,Taltal,Taltal,Antofagasta
34,Cabo Negro,Primavera,Magallanes y de la Antartica chilena
35,Corral,Corral,Los Rios
36,Balmaceda,Cisnes,Aysen del General Carlos Ibañez del Campo
37,Puerto Chacabuco,Aysen,Aysen del General Carlos Ibañez del Campo
38,Caleta Patillos,Iquique,Tarapaca
39,Coronel,Coronel,Biobio
40,Valdivia,Valdivia,Los Rios
41,San Vicente,San Vicente,O'Higgins
42,Isla de Pascua,Hanga Roa,Valparaiso
43,Tocopilla,Tocopilla,Antofagasta
